Model Number,Input Configuration,Model Configuration,Accuracy,Precision,Recall,Model Size
0,"(12000, 'mfcc')","[(64, 5, 'sigmoid')]",0.9954545454545455,0.975609756097561,1.0,20707024
1,"(48000, 'mfcc')","[(128, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,177323788
2,"(375, 'spectrogram')","[(8, 5, 'relu')]",0.8181818181818182,0.0,0.0,1310400
3,"(24000, 'mel-spectrogram')","[(4, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,5831008
4,"(6000, 'spectrogram')","[(8, 3, 'sigmoid')]",1.0,1.0,1.0,37976908
5,"(48000, 'mfcc')","[(8, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,11085272
6,"(12000, 'mfcc')","[(8, 5, 'relu')]",1.0,1.0,1.0,2590744
7,"(6000, 'mfcc')","[(32, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,5113380
8,"(6000, 'spectrogram')","[(8, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,37249764
9,"(1500, 'spectrogram')","[(16, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,16993816
10,"(12000, 'mel-spectrogram')","[(64, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,44952888
11,"(24000, 'mel-spectrogram')","[(4, 5, 'relu')]",1.0,1.0,1.0,5657548
12,"(6000, 'spectrogram')","[(8, 5, 'sigmoid')]",1.0,1.0,1.0,37249784
13,"(6000, 'mfcc')","[(8, 5, 'relu')]",0.8181818181818182,0.0,0.0,1280364
14,"(12000, 'mel-spectrogram')","[(4, 5, 'relu')]",1.0,1.0,1.0,2812108
15,"(6000, 'mfcc')","[(64, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,10223928
16,"(12000, 'mfcc')","[(8, 5, 'sigmoid')]",1.0,1.0,1.0,2590904
17,"(6000, 'spectrogram')","[(8, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,37976952
18,"(24000, 'mel-spectrogram')","[(4, 3, 'relu')]",0.8181818181818182,0.0,0.0,5831052
19,"(12000, 'mel-spectrogram')","[(64, 5, 'relu')]",1.0,1.0,1.0,44952748
20,"(12000, 'spectrogram')","[(8, 5, 'relu')]",0.8181818181818182,0.0,0.0,75475884
21,"(24000, 'mel-spectrogram')","[(4, 3, 'relu')]",1.0,1.0,1.0,5831052
22,"(12000, 'mel-spectrogram')","[(4, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,2812248
23,"(12000, 'mel-spectrogram')","[(8, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,5621624
24,"(12000, 'mel-spectrogram')","[(4, 5, 'sigmoid')]",1.0,1.0,1.0,2812248
25,"(12000, 'mfcc')","[(8, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,2590904
26,"(12000, 'mfcc')","[(8, 5, 'sigmoid'), (8, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,2424944
