Model Number,Input Configuration,Model Configuration,Accuracy,Precision,Recall,Model Size
226,"(6000, 'spectrogram')","[(64, 3, 'sigmoid'), (8, 3, 'relu')]",1.0,1.0,1.0,37270544
227,"(6000, 'spectrogram')","[(32, 3, 'relu'), (8, 5, 'relu')]",0.8181818181818182,0.0,0.0,36551160
228,"(6000, 'spectrogram')","[(64, 3, 'relu'), (16, 3, 'relu')]",1.0,1.0,1.0,74534936
229,"(6000, 'spectrogram')","[(64, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,297978200
230,"(6000, 'spectrogram')","[(64, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,297978060
231,"(6000, 'spectrogram')","[(32, 3, 'relu'), (4, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,18632232
232,"(6000, 'spectrogram')","[(64, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,303795544
233,"(6000, 'spectrogram')","[(64, 3, 'sigmoid'), (8, 3, 'relu')]",1.0,1.0,1.0,37270544
234,"(6000, 'spectrogram')","[(64, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,303795544
235,"(6000, 'spectrogram')","[(64, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,303795544
236,"(6000, 'spectrogram')","[(64, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,303795544
237,"(6000, 'spectrogram')","[(64, 3, 'relu')]",0.8181818181818182,0.0,0.0,303795404
238,"(6000, 'spectrogram')","[(32, 3, 'sigmoid'), (4, 3, 'relu')]",0.95,1.0,0.725,18632384
239,"(6000, 'spectrogram')","[(32, 3, 'relu')]",0.8181818181818182,0.0,0.0,151899084
240,"(6000, 'spectrogram')","[(64, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,303795544
241,"(6000, 'spectrogram')","[(64, 3, 'sigmoid'), (16, 3, 'relu')]",0.8181818181818182,0.0,0.0,74535088
242,"(6000, 'spectrogram')","[(64, 3, 'sigmoid'), (8, 3, 'relu')]",0.8181818181818182,0.0,0.0,37270544
243,"(6000, 'spectrogram')","[(64, 3, 'relu')]",0.8181818181818182,0.0,0.0,303795404
244,"(6000, 'spectrogram')","[(64, 3, 'sigmoid'), (16, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,74535088
245,"(6000, 'spectrogram')","[(64, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,297978060
246,"(6000, 'spectrogram')","[(64, 3, 'sigmoid'), (16, 3, 'relu')]",0.8181818181818182,0.0,0.0,74535088
247,"(6000, 'spectrogram')","[(32, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,151899224
248,"(6000, 'spectrogram')","[(64, 5, 'sigmoid'), (16, 3, 'relu')]",1.0,1.0,1.0,73088944
