Model Number,Input Configuration,Model Configuration,Accuracy,Precision,Recall,Model Size
232,"(6000, 'spectrogram')","[(2, 3, 'sigmoid'), (32, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,146094000
233,"(6000, 'spectrogram')","[(2, 5, 'relu'), (64, 5, 'sigmoid')]",1.0,1.0,1.0,286403904
234,"(6000, 'spectrogram')","[(2, 5, 'sigmoid'), (64, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,286404016
235,"(6000, 'spectrogram')","[(2, 5, 'relu'), (64, 3, 'sigmoid')]",1.0,1.0,1.0,292176192
236,"(6000, 'spectrogram')","[(2, 3, 'sigmoid'), (64, 5, 'relu')]",1.0,1.0,1.0,292184256
237,"(6000, 'spectrogram')","[(4, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,18626220
238,"(6000, 'spectrogram')","[(2, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,9314492
239,"(6000, 'spectrogram')","[(2, 5, 'relu'), (32, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,143203776
240,"(6000, 'spectrogram')","[(2, 5, 'relu')]",1.0,1.0,1.0,9314492
241,"(6000, 'spectrogram')","[(2, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,9496284
242,"(6000, 'spectrogram')","[(2, 5, 'relu'), (64, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,286403904
243,"(6000, 'spectrogram')","[(2, 3, 'sigmoid'), (64, 3, 'relu')]",1.0,1.0,1.0,297977024
244,"(6000, 'spectrogram')","[(2, 3, 'sigmoid'), (64, 5, 'relu')]",0.8181818181818182,0.0,0.0,292184256
245,"(6000, 'spectrogram')","[(2, 5, 'relu')]",0.8181818181818182,0.0,0.0,9314492
246,"(6000, 'spectrogram')","[(2, 5, 'sigmoid'), (64, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,286404016
247,"(6000, 'spectrogram')","[(2, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,9314632
248,"(6000, 'spectrogram')","[(2, 3, 'sigmoid')]",1.0,1.0,1.0,9496424
249,"(6000, 'spectrogram')","[(2, 5, 'relu')]",1.0,1.0,1.0,9314492
250,"(6000, 'spectrogram')","[(2, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,9314492
251,"(6000, 'spectrogram')","[(4, 5, 'relu')]",1.0,1.0,1.0,18626220
252,"(6000, 'spectrogram')","[(2, 3, 'sigmoid'), (64, 3, 'relu')]",1.0,1.0,1.0,297977024
253,"(6000, 'spectrogram')","[(2, 5, 'sigmoid'), (64, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,292176304
254,"(6000, 'spectrogram')","[(2, 5, 'relu'), (64, 3, 'relu')]",1.0,1.0,1.0,292176040
255,"(6000, 'spectrogram')","[(2, 5, 'relu')]",1.0,1.0,1.0,9314492
256,"(6000, 'spectrogram')","[(2, 3, 'sigmoid'), (64, 3, 'relu')]",1.0,1.0,1.0,297977024
257,"(6000, 'spectrogram')","[(2, 3, 'sigmoid'), (64, 3, 'relu')]",0.8181818181818182,0.0,0.0,297977024
258,"(6000, 'spectrogram')","[(4, 3, 'relu')]",1.0,1.0,1.0,18989804
259,"(6000, 'spectrogram')","[(4, 5, 'relu')]",1.0,1.0,1.0,18626220
260,"(6000, 'spectrogram')","[(2, 5, 'relu')]",0.8181818181818182,0.0,0.0,9314492
261,"(6000, 'spectrogram')","[(4, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,18989944
262,"(6000, 'spectrogram')","[(2, 5, 'relu'), (64, 3, 'relu')]",1.0,1.0,1.0,292176040
263,"(6000, 'spectrogram')","[(2, 3, 'sigmoid')]",1.0,1.0,1.0,9496424
264,"(6000, 'spectrogram')","[(2, 5, 'relu'), (64, 3, 'relu')]",0.8181818181818182,0.0,0.0,292176040
265,"(6000, 'spectrogram')","[(4, 5, 'relu')]",1.0,1.0,1.0,18626220
266,"(6000, 'spectrogram')","[(2, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,9314492
267,"(6000, 'spectrogram')","[(2, 3, 'relu')]",0.8181818181818182,0.0,0.0,9496284
268,"(6000, 'spectrogram')","[(2, 5, 'relu'), (64, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,292176040
269,"(6000, 'spectrogram')","[(2, 5, 'relu')]",0.8181818181818182,0.0,0.0,9314492
270,"(6000, 'spectrogram')","[(4, 5, 'relu')]",1.0,1.0,1.0,18626220
271,"(6000, 'spectrogram')","[(4, 5, 'relu')]",1.0,1.0,1.0,18626220
272,"(6000, 'spectrogram')","[(2, 3, 'sigmoid')]",1.0,1.0,1.0,9496424
273,"(6000, 'spectrogram')","[(2, 5, 'relu')]",0.8181818181818182,0.0,0.0,9314492
274,"(6000, 'spectrogram')","[(2, 5, 'relu'), (64, 3, 'relu')]",0.8181818181818182,0.0,0.0,292176040
275,"(6000, 'spectrogram')","[(2, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,9314492
276,"(6000, 'spectrogram')","[(2, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,9496424
277,"(6000, 'spectrogram')","[(4, 3, 'relu')]",0.8181818181818182,0.0,0.0,18989804
278,"(6000, 'spectrogram')","[(4, 5, 'relu'), (4, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,17904704
279,"(6000, 'spectrogram')","[(4, 5, 'relu')]",1.0,1.0,1.0,18626220
280,"(6000, 'spectrogram')","[(2, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,9314632
281,"(6000, 'spectrogram')","[(4, 5, 'relu'), (64, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,286416912
282,"(6000, 'spectrogram')","[(2, 3, 'relu')]",0.8181818181818182,0.0,0.0,9496284
283,"(6000, 'spectrogram')","[(2, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,9496424
284,"(6000, 'spectrogram')","[(2, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,9496284
285,"(6000, 'spectrogram')","[(2, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,9314632
286,"(6000, 'spectrogram')","[(2, 5, 'relu')]",1.0,1.0,1.0,9314492
287,"(6000, 'spectrogram')","[(2, 5, 'relu')]",0.8181818181818182,0.0,0.0,9314492
288,"(6000, 'spectrogram')","[(4, 5, 'relu'), (32, 5, 'sigmoid')]",1.0,1.0,1.0,143210384
289,"(6000, 'spectrogram')","[(4, 5, 'relu')]",0.8181818181818182,0.0,0.0,18626220
290,"(6000, 'spectrogram')","[(2, 3, 'relu')]",0.8181818181818182,0.0,0.0,9496284
291,"(6000, 'spectrogram')","[(4, 5, 'relu'), (16, 5, 'relu')]",0.8181818181818182,0.0,0.0,71606968
292,"(6000, 'spectrogram')","[(2, 5, 'relu')]",0.8181818181818182,0.0,0.0,9314492
293,"(6000, 'spectrogram')","[(2, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,9314632
294,"(6000, 'spectrogram')","[(4, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,18626220
295,"(6000, 'spectrogram')","[(2, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,9314492
296,"(6000, 'spectrogram')","[(2, 5, 'sigmoid')]",0.19090909090909092,0.1834862385321101,1.0,9314632
297,"(6000, 'spectrogram')","[(4, 5, 'relu'), (16, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,71607120
298,"(6000, 'spectrogram')","[(4, 5, 'relu'), (16, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,73047992
299,"(6000, 'spectrogram')","[(4, 5, 'relu')]",0.8181818181818182,0.0,0.0,18626220
