Model Number,Input Configuration,Model Configuration,Accuracy,Precision,Recall,Model Size
0,"(12000, 'spectrogram')","[(2, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,18871056
1,"(12000, 'mel-spectrogram')","[(2, 3, 'relu')]",1.0,1.0,1.0,1456688
2,"(1500, 'mel-spectrogram')","[(16, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,1269132
3,"(375, 'mel-spectrogram')","[(128, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,2404108
4,"(24000, 'mel-spectrogram')","[(4, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,5657504
5,"(3000, 'mel-spectrogram')","[(32, 3, 'sigmoid')]",1.0,1.0,1.0,5695012
6,"(3000, 'spectrogram')","[(2, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,4495460
7,"(3000, 'spectrogram')","[(32, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,74642212
8,"(750, 'mfcc')","[(64, 3, 'relu')]",0.8181818181818182,0.0,0.0,1236632
9,"(6000, 'mel-spectrogram')","[(32, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,11585432
10,"(12000, 'mel-spectrogram')","[(2, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,1407420
11,"(1500, 'mel-spectrogram')","[(8, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,636024
12,"(3000, 'mel-spectrogram')","[(16, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,2848952
13,"(3000, 'spectrogram')","[(32, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,74642092
14,"(1500, 'mel-spectrogram')","[(16, 3, 'sigmoid')]",0.9954545454545455,0.975609756097561,1.0,1401272
15,"(24000, 'mel-spectrogram')","[(2, 3, 'relu')]",1.0,1.0,1.0,2916892
16,"(3000, 'mfcc')","[(32, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,2703672
17,"(12000, 'mel-spectrogram')","[(2, 5, 'sigmoid')]",1.0,1.0,1.0,1407560
18,"(1500, 'mel-spectrogram')","[(16, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,1269176
19,"(1500, 'mel-spectrogram')","[(8, 5, 'sigmoid')]",1.0,1.0,1.0,636024
20,"(12000, 'mel-spectrogram')","[(2, 3, 'relu'), (64, 5, 'relu')]",0.8181818181818182,0.0,0.0,43398136
21,"(12000, 'mel-spectrogram')","[(4, 5, 'relu')]",1.0,1.0,1.0,2812108
22,"(24000, 'mel-spectrogram')","[(2, 5, 'relu')]",1.0,1.0,1.0,2830140
23,"(12000, 'mel-spectrogram')","[(2, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,1407420
24,"(12000, 'mel-spectrogram')","[(8, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,5621624
25,"(24000, 'mel-spectrogram')","[(2, 3, 'relu')]",0.8181818181818182,0.0,0.0,2916892
26,"(12000, 'mel-spectrogram')","[(2, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,1456872
27,"(1500, 'mel-spectrogram')","[(8, 5, 'relu')]",1.0,1.0,1.0,635884
28,"(12000, 'spectrogram')","[(4, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,37739308
29,"(1500, 'mel-spectrogram')","[(8, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,636024
30,"(12000, 'mel-spectrogram')","[(4, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,2812248
31,"(1500, 'mel-spectrogram')","[(16, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,1269176
32,"(12000, 'mel-spectrogram')","[(2, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,1456732
33,"(1500, 'mel-spectrogram')","[(8, 5, 'relu'), (128, 5, 'sigmoid')]",1.0,1.0,1.0,8217216
34,"(1500, 'mel-spectrogram')","[(8, 5, 'sigmoid')]",1.0,1.0,1.0,636024
35,"(3000, 'mel-spectrogram')","[(8, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,1341304
36,"(1500, 'mel-spectrogram')","[(8, 3, 'relu')]",0.990909090909091,0.9523809523809523,1.0,701932
37,"(12000, 'spectrogram')","[(8, 5, 'relu')]",0.8181818181818182,0.0,0.0,75475884
38,"(1500, 'mel-spectrogram')","[(16, 5, 'relu')]",1.0,1.0,1.0,1269036
39,"(1500, 'mel-spectrogram')","[(16, 5, 'sigmoid')]",1.0,1.0,1.0,1269176
