Model Number,Input Configuration,Model Configuration,Accuracy,Precision,Recall,Model Size
0,"(6000, 'spectrogram')","[(16, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,74496592
1,"(6000, 'spectrogram')","[(4, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,18626284
2,"(6000, 'spectrogram')","[(16, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,75950988
3,"(6000, 'spectrogram')","[(2, 5, 'relu')]",0.8181818181818182,0.0,0.0,9314416
4,"(6000, 'spectrogram')","[(8, 3, 'sigmoid')]",0.9954545454545455,1.0,0.975,37976908
5,"(6000, 'spectrogram')","[(32, 5, 'relu')]",1.0,1.0,1.0,148990360
6,"(6000, 'spectrogram')","[(64, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,303795352
7,"(6000, 'spectrogram')","[(4, 3, 'relu')]",0.8181818181818182,0.0,0.0,18989752
8,"(6000, 'spectrogram')","[(64, 3, 'relu')]",0.8181818181818182,0.0,0.0,303795352
9,"(6000, 'spectrogram')","[(32, 5, 'relu')]",1.0,1.0,1.0,148990360
10,"(6000, 'spectrogram')","[(16, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,74496696
11,"(6000, 'spectrogram')","[(32, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,151899192
12,"(6000, 'spectrogram')","[(32, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,148990520
13,"(6000, 'spectrogram')","[(32, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,151899052
14,"(6000, 'spectrogram')","[(16, 5, 'sigmoid')]",1.0,1.0,1.0,74496696
15,"(6000, 'spectrogram')","[(16, 5, 'sigmoid'), (32, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,143250096
16,"(6000, 'spectrogram')","[(16, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,74496556
17,"(6000, 'spectrogram')","[(64, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,297978028
18,"(6000, 'spectrogram')","[(32, 5, 'sigmoid')]",1.0,1.0,1.0,148990520
19,"(6000, 'spectrogram')","[(32, 5, 'relu')]",1.0,1.0,1.0,148990380
20,"(6000, 'spectrogram')","[(32, 5, 'relu')]",1.0,1.0,1.0,148990380
21,"(6000, 'spectrogram')","[(16, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,74496556
22,"(6000, 'spectrogram')","[(16, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,74496556
23,"(6000, 'spectrogram')","[(16, 5, 'relu')]",1.0,1.0,1.0,74496556
24,"(6000, 'spectrogram')","[(16, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,74496696
25,"(6000, 'spectrogram')","[(32, 5, 'relu')]",0.8181818181818182,0.0,0.0,148990380
26,"(6000, 'spectrogram')","[(16, 3, 'sigmoid')]",1.0,1.0,1.0,75951032
27,"(6000, 'spectrogram')","[(32, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,148990520
28,"(6000, 'spectrogram')","[(8, 5, 'relu')]",1.0,1.0,1.0,37249644
29,"(6000, 'spectrogram')","[(16, 5, 'relu')]",0.8181818181818182,0.0,0.0,74496556
30,"(6000, 'spectrogram')","[(32, 5, 'relu'), (4, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,17918736
31,"(6000, 'spectrogram')","[(32, 5, 'sigmoid'), (32, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,146127584
32,"(6000, 'spectrogram')","[(16, 5, 'relu'), (2, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,9136456
33,"(6000, 'spectrogram')","[(16, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,75951032
34,"(6000, 'spectrogram')","[(8, 5, 'relu')]",0.8181818181818182,0.0,0.0,37249644
35,"(6000, 'spectrogram')","[(32, 5, 'relu'), (8, 3, 'relu')]",0.8181818181818182,0.0,0.0,36536776
36,"(6000, 'spectrogram')","[(16, 3, 'relu')]",1.0,1.0,1.0,75950892
37,"(6000, 'spectrogram')","[(8, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,37249784
38,"(6000, 'spectrogram')","[(32, 5, 'sigmoid'), (32, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,146127696
39,"(6000, 'spectrogram')","[(16, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,74496696
40,"(6000, 'spectrogram')","[(32, 5, 'relu'), (8, 3, 'relu')]",0.9954545454545455,0.975609756097561,1.0,36536776
41,"(6000, 'spectrogram')","[(8, 5, 'relu')]",0.9954545454545455,0.975609756097561,1.0,37249644
42,"(6000, 'spectrogram')","[(16, 3, 'sigmoid'), (4, 3, 'relu')]",1.0,1.0,1.0,18629392
43,"(6000, 'spectrogram')","[(16, 3, 'relu')]",1.0,1.0,1.0,75950892
44,"(6000, 'spectrogram')","[(16, 3, 'relu')]",0.9954545454545455,1.0,0.975,75950892
45,"(6000, 'spectrogram')","[(32, 5, 'relu')]",0.8181818181818182,0.0,0.0,148990380
46,"(6000, 'spectrogram')","[(8, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,37976812
47,"(6000, 'spectrogram')","[(32, 5, 'sigmoid'), (8, 3, 'relu')]",1.0,1.0,1.0,36536928
48,"(6000, 'spectrogram')","[(32, 3, 'sigmoid'), (4, 3, 'relu')]",1.0,1.0,1.0,18632336
49,"(6000, 'spectrogram')","[(16, 3, 'relu')]",0.8181818181818182,0.0,0.0,75950892
50,"(6000, 'spectrogram')","[(16, 5, 'relu')]",0.8181818181818182,0.0,0.0,74496556
51,"(6000, 'spectrogram')","[(16, 3, 'sigmoid'), (4, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,18629504
52,"(6000, 'spectrogram')","[(16, 3, 'relu')]",0.8181818181818182,0.0,0.0,75950892
53,"(6000, 'spectrogram')","[(32, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,148990520
