Model Number, Accuracy, Precision, Recall, Model Size
1, 0.9045454545454545, 0.7111111111111111, 0.8, 9240
2, 0.9954545454545455, 0.975609756097561, 1.0, 11536
3, 0.8409090909090909, 0.5454545454545454, 0.75, 9088
4, 1.0, 1.0, 1.0, 16528
5, 0.990909090909091, 1.0, 0.95, 12108
