Model Number,Input Configuration,Model Configuration,Accuracy,Precision,Recall,Model Size
0,"(6000, 'mel-spectrogram')","[(32, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,11095876
1,"(375, 'mel-spectrogram')","[(2, 5, 'relu')]",0.95,0.8536585365853658,0.875,27216
2,"(48000, 'mfcc')","[(16, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,22167948
3,"(48000, 'spectrogram')","[(4, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,153207468
4,"(750, 'mel-spectrogram')","[(4, 5, 'sigmoid')]",1.0,1.0,1.0,137004
5,"(3000, 'mfcc')","[(16, 5, 'relu')]",0.9954545454545455,0.975609756097561,1.0,1236376
6,"(3000, 'mfcc')","[(128, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,10805912
7,"(3000, 'spectrogram')","[(4, 3, 'sigmoid')]",1.0,1.0,1.0,9332772
8,"(48000, 'mfcc')","[(2, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,2773492
9,"(24000, 'mel-spectrogram')","[(8, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,11659492
10,"(750, 'mel-spectrogram')","[(2, 5, 'relu')]",1.0,1.0,1.0,69820
11,"(24000, 'mfcc')","[(16, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,11062072
12,"(750, 'mel-spectrogram')","[(4, 3, 'sigmoid')]",1.0,1.0,1.0,165272
13,"(3000, 'spectrogram')","[(8, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,18662712
14,"(3000, 'spectrogram')","[(4, 3, 'sigmoid')]",0.9954545454545455,0.975609756097561,1.0,9332792
15,"(375, 'mel-spectrogram')","[(2, 3, 'relu')]",0.9090909090909091,0.7,0.875,40252
16,"(750, 'spectrogram')","[(4, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,1800248
17,"(750, 'mel-spectrogram')","[(2, 3, 'relu')]",1.0,1.0,1.0,83932
18,"(750, 'mfcc')","[(4, 3, 'sigmoid')]",1.0,1.0,1.0,79992
19,"(375, 'mel-spectrogram')","[(2, 5, 'relu')]",0.9318181818181818,0.7906976744186046,0.85,27260
20,"(375, 'mel-spectrogram')","[(4, 5, 'relu')]",0.9363636363636364,0.8095238095238095,0.85,51788
21,"(750, 'mel-spectrogram')","[(2, 5, 'relu'), (2, 5, 'sigmoid')]",0.9727272727272728,0.8695652173913043,1.0,44360
22,"(375, 'mfcc')","[(2, 3, 'relu')]",0.8818181818181818,0.6296296296296297,0.85,20572
23,"(750, 'mel-spectrogram')","[(4, 3, 'relu')]",0.8181818181818182,0.0,0.0,165132
24,"(750, 'mfcc')","[(4, 3, 'sigmoid')]",0.990909090909091,0.9523809523809523,1.0,79992
25,"(750, 'mel-spectrogram')","[(2, 5, 'sigmoid')]",0.9954545454545455,0.975609756097561,1.0,69960
26,"(750, 'mel-spectrogram')","[(2, 5, 'relu')]",0.9954545454545455,1.0,0.975,69820
27,"(750, 'mfcc')","[(8, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,157112
28,"(750, 'mel-spectrogram')","[(2, 5, 'relu'), (2, 5, 'relu')]",0.990909090909091,0.975,0.975,44208
29,"(750, 'mfcc')","[(4, 3, 'sigmoid')]",0.990909090909091,1.0,0.95,79992
30,"(750, 'spectrogram')","[(2, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,901420
31,"(750, 'mel-spectrogram')","[(2, 5, 'relu'), (2, 5, 'sigmoid'), (16, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,138496
32,"(750, 'mel-spectrogram')","[(4, 5, 'sigmoid')]",1.0,1.0,1.0,137048
33,"(375, 'mel-spectrogram')","[(2, 5, 'relu')]",0.9409090909090909,1.0,0.675,27260
34,"(750, 'mel-spectrogram')","[(2, 5, 'relu')]",0.9954545454545455,0.975609756097561,1.0,69820
35,"(750, 'mel-spectrogram')","[(2, 5, 'relu'), (32, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,655248
36,"(750, 'mel-spectrogram')","[(2, 5, 'relu'), (2, 5, 'sigmoid')]",1.0,1.0,1.0,44360
37,"(750, 'mel-spectrogram')","[(2, 5, 'relu')]",0.9954545454545455,1.0,0.975,69820
38,"(750, 'mel-spectrogram')","[(8, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,271224
39,"(750, 'mel-spectrogram')","[(4, 5, 'relu')]",1.0,1.0,1.0,136908
40,"(1500, 'mel-spectrogram')","[(2, 5, 'relu')]",0.8181818181818182,0.0,0.0,161020
42,"(750, 'mel-spectrogram')","[(4, 5, 'relu')]",1.0,1.0,1.0,136908
43,"(750, 'mel-spectrogram')","[(2, 5, 'relu'), (4, 5, 'sigmoid')]",0.9954545454545455,0.975609756097561,1.0,85056
44,"(750, 'mel-spectrogram')","[(2, 5, 'relu')]",1.0,1.0,1.0,69820
45,"(750, 'mel-spectrogram')","[(2, 5, 'relu'), (4, 5, 'relu')]",1.0,1.0,1.0,84904
46,"(750, 'spectrogram')","[(2, 5, 'relu'), (2, 5, 'sigmoid')]",1.0,1.0,1.0,573560
47,"(750, 'mel-spectrogram')","[(2, 5, 'relu')]",0.990909090909091,1.0,0.95,69820
48,"(1500, 'mel-spectrogram')","[(2, 5, 'relu'), (4, 5, 'sigmoid')]",0.9954545454545455,0.975609756097561,1.0,257856
49,"(750, 'mel-spectrogram')","[(2, 5, 'relu'), (4, 5, 'relu')]",0.990909090909091,1.0,0.95,84904
50,"(750, 'mel-spectrogram')","[(2, 5, 'relu'), (2, 5, 'relu')]",0.9954545454545455,1.0,0.975,44208
51,"(750, 'mel-spectrogram')","[(2, 5, 'relu'), (2, 5, 'sigmoid')]",0.9954545454545455,1.0,0.975,44360
52,"(750, 'mel-spectrogram')","[(2, 3, 'relu')]",1.0,1.0,1.0,83932
53,"(750, 'mel-spectrogram')","[(2, 5, 'relu'), (8, 3, 'sigmoid')]",0.9863636363636363,0.9302325581395349,1.0,217328
54,"(750, 'mel-spectrogram')","[(2, 5, 'relu')]",1.0,1.0,1.0,69820
55,"(750, 'mel-spectrogram')","[(2, 5, 'relu'), (2, 3, 'sigmoid')]",0.9954545454545455,0.975609756097561,1.0,57064
56,"(750, 'spectrogram')","[(2, 5, 'relu')]",0.8181818181818182,0.0,0.0,901420
57,"(750, 'mel-spectrogram')","[(2, 5, 'relu'), (2, 5, 'sigmoid')]",0.9954545454545455,0.975609756097561,1.0,44360
58,"(750, 'mel-spectrogram')","[(2, 5, 'relu'), (2, 3, 'sigmoid')]",0.990909090909091,0.9523809523809523,1.0,57064
59,"(750, 'mel-spectrogram')","[(2, 5, 'relu')]",0.990909090909091,1.0,0.95,69820
60,"(1500, 'mel-spectrogram')","[(2, 5, 'relu'), (2, 5, 'sigmoid')]",0.9954545454545455,0.975609756097561,1.0,130760
61,"(750, 'mel-spectrogram')","[(2, 5, 'relu'), (2, 5, 'relu'), (128, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,1806276
62,"(375, 'mel-spectrogram')","[(2, 5, 'relu'), (2, 3, 'sigmoid')]",0.8909090909090909,0.7,0.7,15624
63,"(750, 'mel-spectrogram')","[(2, 5, 'relu'), (4, 5, 'sigmoid')]",0.9954545454545455,0.975609756097561,1.0,85056
64,"(750, 'mel-spectrogram')","[(2, 5, 'relu'), (2, 5, 'relu')]",0.990909090909091,1.0,0.95,44208
65,"(750, 'mel-spectrogram')","[(2, 5, 'relu'), (2, 5, 'relu')]",0.9954545454545455,1.0,0.975,44208
66,"(1500, 'mel-spectrogram')","[(2, 5, 'relu'), (2, 5, 'sigmoid')]",1.0,1.0,1.0,130760
67,"(750, 'mel-spectrogram')","[(2, 5, 'relu')]",1.0,1.0,1.0,69820
68,"(375, 'mfcc')","[(2, 5, 'relu'), (2, 3, 'sigmoid')]",0.9227272727272727,0.7948717948717948,0.775,9064
69,"(750, 'mel-spectrogram')","[(2, 5, 'relu'), (2, 5, 'sigmoid')]",0.9954545454545455,1.0,0.975,44360
70,"(750, 'mel-spectrogram')","[(2, 5, 'relu')]",0.9954545454545455,1.0,0.975,69820
71,"(750, 'mel-spectrogram')","[(2, 5, 'relu'), (2, 3, 'sigmoid'), (2, 5, 'sigmoid')]",0.990909090909091,0.9523809523809523,1.0,32872
72,"(750, 'mel-spectrogram')","[(2, 3, 'relu'), (2, 5, 'relu')]",0.9954545454545455,0.975609756097561,1.0,57052
73,"(750, 'mfcc')","[(2, 5, 'relu')]",0.9954545454545455,1.0,0.975,33748
74,"(750, 'mel-spectrogram')","[(2, 5, 'relu'), (2, 5, 'sigmoid')]",1.0,1.0,1.0,44376
75,"(750, 'mel-spectrogram')","[(4, 5, 'relu'), (2, 5, 'sigmoid')]",1.0,1.0,1.0,44952
