Model Number,Accuracy,Precision,Recall,Model Size
35, 0.18181818181818182, 0.18181818181818182, 1.0, 8456952
36, 0.8181818181818182, 0.0, 0.0, 8456952
37, 1.0, 1.0, 1.0, 8962744
