Model Number,Input Configuration,Model Configuration,Accuracy,Precision,Recall,Model Size
0,"(6000, 'spectrogram')","[(4, 5, 'relu')]",0.17727272727272728,0.1780821917808219,0.975,18626084
1,"(6000, 'spectrogram')","[(8, 5, 'relu')]",0.8181818181818182,0.0,0.0,37249600
2,"(6000, 'spectrogram')","[(16, 5, 'relu')]",1.0,1.0,1.0,74496512
3,"(6000, 'spectrogram')","[(16, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,74496652
4,"(6000, 'spectrogram')","[(16, 5, 'relu')]",0.8181818181818182,0.0,0.0,74496512
5,"(6000, 'spectrogram')","[(8, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,37976932
6,"(6000, 'spectrogram')","[(64, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,297978148
7,"(6000, 'spectrogram')","[(64, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,297978148
8,"(6000, 'spectrogram')","[(2, 5, 'relu')]",1.0,1.0,1.0,9314440
9,"(6000, 'spectrogram')","[(32, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,148990500
10,"(6000, 'spectrogram')","[(4, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,18626188
11,"(6000, 'spectrogram')","[(16, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,75950892
12,"(6000, 'spectrogram')","[(8, 3, 'sigmoid')]",0.9954545454545455,1.0,0.975,37976952
13,"(6000, 'spectrogram')","[(64, 5, 'sigmoid'), (16, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,73089008
14,"(6000, 'spectrogram')","[(8, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,37249784
15,"(6000, 'spectrogram')","[(8, 5, 'relu')]",1.0,1.0,1.0,37249644
16,"(6000, 'spectrogram')","[(16, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,75951032
17,"(6000, 'spectrogram')","[(2, 5, 'sigmoid')]",1.0,1.0,1.0,9314600
18,"(6000, 'spectrogram')","[(8, 3, 'relu')]",0.8181818181818182,0.0,0.0,37976812
19,"(6000, 'spectrogram')","[(8, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,37249784
20,"(6000, 'spectrogram')","[(8, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,37249644
21,"(6000, 'spectrogram')","[(2, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,9314600
22,"(6000, 'spectrogram')","[(8, 5, 'relu')]",0.8181818181818182,0.0,0.0,37249644
23,"(6000, 'spectrogram')","[(2, 5, 'sigmoid'), (64, 3, 'relu')]",0.8181818181818182,0.0,0.0,292176144
24,"(6000, 'spectrogram')","[(2, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,9314460
25,"(6000, 'spectrogram')","[(16, 5, 'relu')]",1.0,1.0,1.0,74496556
26,"(6000, 'spectrogram')","[(8, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,37249784
27,"(6000, 'spectrogram')","[(8, 5, 'relu'), (32, 3, 'relu')]",1.0,1.0,1.0,146097256
28,"(6000, 'spectrogram')","[(2, 5, 'sigmoid')]",1.0,1.0,1.0,9314600
29,"(6000, 'spectrogram')","[(16, 5, 'relu')]",1.0,1.0,1.0,74496556
30,"(6000, 'spectrogram')","[(16, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,74496696
31,"(6000, 'spectrogram')","[(16, 5, 'relu')]",1.0,1.0,1.0,74496556
32,"(6000, 'spectrogram')","[(16, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,75950892
33,"(6000, 'spectrogram')","[(4, 5, 'relu'), (32, 3, 'relu')]",0.8181818181818182,0.0,0.0,146092232
34,"(6000, 'spectrogram')","[(2, 5, 'sigmoid')]",1.0,1.0,1.0,9314600
35,"(6000, 'spectrogram')","[(16, 5, 'relu'), (32, 5, 'relu')]",0.8181818181818182,0.0,0.0,143249832
36,"(6000, 'spectrogram')","[(16, 5, 'relu'), (16, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,73056288
37,"(6000, 'spectrogram')","[(2, 5, 'sigmoid')]",1.0,1.0,1.0,9314600
38,"(6000, 'spectrogram')","[(8, 5, 'relu')]",1.0,1.0,1.0,37249644
39,"(6000, 'spectrogram')","[(16, 5, 'sigmoid')]",1.0,1.0,1.0,74496696
40,"(6000, 'spectrogram')","[(16, 5, 'relu'), (4, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,17910672
41,"(6000, 'spectrogram')","[(2, 5, 'sigmoid'), (64, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,292176256
42,"(6000, 'spectrogram')","[(2, 5, 'sigmoid'), (32, 5, 'relu')]",1.0,1.0,1.0,143203728
43,"(6000, 'spectrogram')","[(2, 3, 'sigmoid')]",1.0,1.0,1.0,9496392
44,"(6000, 'spectrogram')","[(2, 5, 'sigmoid')]",1.0,1.0,1.0,9314600
45,"(6000, 'spectrogram')","[(32, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,148990380
46,"(6000, 'spectrogram')","[(2, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,9496392
47,"(6000, 'spectrogram')","[(8, 5, 'relu'), (8, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,36527552
48,"(6000, 'spectrogram')","[(2, 5, 'relu'), (32, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,143203576
49,"(6000, 'spectrogram')","[(16, 5, 'relu')]",0.990909090909091,1.0,0.95,74496556
50,"(6000, 'spectrogram')","[(32, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,148990380
51,"(6000, 'spectrogram')","[(8, 3, 'relu')]",0.8181818181818182,0.0,0.0,37976812
52,"(6000, 'spectrogram')","[(2, 5, 'sigmoid')]",1.0,1.0,1.0,9314600
53,"(6000, 'spectrogram')","[(2, 3, 'sigmoid'), (2, 3, 'relu')]",0.8181818181818182,0.0,0.0,9315176
54,"(6000, 'spectrogram')","[(16, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,74496696
55,"(6000, 'spectrogram')","[(16, 5, 'relu'), (32, 5, 'relu')]",0.8181818181818182,0.0,0.0,143249832
56,"(6000, 'spectrogram')","[(2, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,9496392
57,"(6000, 'spectrogram')","[(16, 5, 'relu')]",1.0,1.0,1.0,74496556
58,"(6000, 'spectrogram')","[(2, 3, 'sigmoid')]",1.0,1.0,1.0,9496392
59,"(6000, 'spectrogram')","[(2, 5, 'sigmoid')]",1.0,1.0,1.0,9314600
60,"(6000, 'spectrogram')","[(16, 5, 'relu')]",0.8181818181818182,0.0,0.0,74496556
61,"(6000, 'spectrogram')","[(2, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,9314460
62,"(6000, 'spectrogram')","[(2, 3, 'sigmoid'), (2, 3, 'relu')]",1.0,1.0,1.0,9315176
63,"(6000, 'spectrogram')","[(32, 5, 'relu')]",0.8181818181818182,0.0,0.0,148990380
64,"(6000, 'spectrogram')","[(2, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,9496392
65,"(6000, 'spectrogram')","[(16, 3, 'relu')]",0.8181818181818182,0.0,0.0,75950892
66,"(6000, 'spectrogram')","[(16, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,74496556
67,"(6000, 'spectrogram')","[(2, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,9314600
