Model Number,Accuracy,Precision,Recall,Model Size
25, 1.0, 1.0, 1.0, 8957760
26, 0.18181818181818182, 0.18181818181818182, 1.0, 8438432
27,  0.8181818181818182, 0.0, 0.0, 8438432
