Model Number,Input Configuration,Model Configuration,Accuracy,Precision,Recall,Model Size
162,"(750, 'mfcc')","[(4, 5, 'relu'), (4, 5, 'sigmoid'), (8, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,35304
163,"(750, 'mfcc')","[(8, 5, 'sigmoid'), (4, 5, 'sigmoid'), (4, 5, 'sigmoid')]",0.9863636363636363,0.9743589743589743,0.95,22860
164,"(750, 'mfcc')","[(8, 5, 'relu'), (4, 5, 'sigmoid'), (4, 5, 'sigmoid')]",0.990909090909091,0.9523809523809523,1.0,22748
165,"(750, 'mfcc')","[(2, 5, 'relu'), (4, 5, 'sigmoid'), (4, 5, 'sigmoid')]",0.9863636363636363,0.9743589743589743,0.95,19724
166,"(750, 'mel-spectrogram')","[(8, 5, 'sigmoid'), (4, 5, 'sigmoid'), (4, 5, 'relu')]",0.9954545454545455,0.975609756097561,1.0,42428
167,"(750, 'mfcc')","[(8, 5, 'sigmoid'), (2, 5, 'relu'), (4, 5, 'relu')]",0.990909090909091,0.975,0.975,20180
168,"(750, 'mfcc')","[(8, 3, 'sigmoid'), (2, 5, 'sigmoid'), (4, 5, 'relu')]",0.990909090909091,0.9523809523809523,1.0,30032
169,"(750, 'mfcc')","[(8, 5, 'sigmoid'), (2, 5, 'sigmoid'), (4, 5, 'relu')]",0.990909090909091,0.975,0.975,20304
170,"(750, 'mfcc')","[(4, 5, 'relu'), (4, 5, 'relu'), (4, 5, 'sigmoid')]",0.9954545454545455,1.0,0.975,20636
172,"(1500, 'mfcc')","[(8, 5, 'relu'), (4, 5, 'sigmoid'), (4, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,87548
173,"(750, 'mfcc')","[(8, 5, 'sigmoid'), (2, 3, 'relu'), (4, 5, 'relu')]",0.990909090909091,1.0,0.95,29396
174,"(750, 'mfcc')","[(8, 5, 'sigmoid'), (2, 5, 'sigmoid'), (4, 5, 'relu')]",0.9863636363636363,0.9743589743589743,0.95,20304
177,"(750, 'mfcc')","[(2, 5, 'relu'), (4, 5, 'relu'), (4, 5, 'sigmoid')]",1.0,1.0,1.0,19596
178,"(750, 'mel-spectrogram')","[(8, 5, 'sigmoid'), (2, 3, 'relu'), (4, 5, 'relu')]",0.9954545454545455,1.0,0.975,62196
179,"(750, 'mfcc')","[(8, 5, 'sigmoid'), (4, 3, 'relu'), (4, 5, 'sigmoid')]",0.9818181818181818,0.9736842105263158,0.925,30936
180,"(750, 'mfcc')","[(8, 5, 'sigmoid'), (2, 5, 'sigmoid')]",0.9954545454545455,1.0,0.975,23352
181,"(750, 'mfcc')","[(4, 5, 'relu'), (4, 5, 'relu'), (4, 5, 'relu')]",1.0,1.0,1.0,20484
182,"(750, 'mfcc')","[(2, 5, 'relu'), (4, 5, 'relu'), (4, 3, 'sigmoid')]",0.9863636363636363,0.9743589743589743,0.95,28812
184,"(750, 'mfcc')","[(2, 5, 'sigmoid'), (2, 5, 'relu'), (4, 5, 'sigmoid')]",0.9636363636363636,0.9,0.9,18516
185,"(1500, 'mfcc')","[(8, 5, 'sigmoid'), (2, 5, 'sigmoid'), (4, 5, 'relu')]",1.0,1.0,1.0,85104
186,"(1500, 'mfcc')","[(2, 5, 'relu'), (4, 5, 'relu'), (4, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,84396
187,"(750, 'mfcc')","[(8, 3, 'sigmoid'), (2, 5, 'sigmoid')]",0.990909090909091,0.975,0.975,29240
189,"(750, 'mfcc')","[(8, 5, 'sigmoid'), (2, 5, 'sigmoid'), (4, 5, 'relu')]",0.8181818181818182,0.0,0.0,20160
190,"(750, 'mfcc')","[(4, 5, 'relu'), (4, 5, 'relu'), (4, 5, 'sigmoid')]",0.990909090909091,0.975,0.975,20636
191,"(750, 'mfcc')","[(4, 5, 'relu'), (4, 5, 'sigmoid'), (4, 5, 'relu')]",0.9863636363636363,0.9512195121951219,0.975,20640
193,"(750, 'spectrogram')","[(8, 3, 'sigmoid'), (2, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,739160
194,"(750, 'mfcc')","[(2, 5, 'relu'), (4, 5, 'relu'), (4, 5, 'sigmoid')]",0.990909090909091,0.975,0.975,19596
195,"(750, 'mel-spectrogram')","[(2, 5, 'relu'), (4, 5, 'relu'), (4, 5, 'sigmoid')]",1.0,1.0,1.0,39276
196,"(750, 'mfcc')","[(8, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,157144
197,"(750, 'mfcc')","[(4, 5, 'relu'), (4, 5, 'relu')]",0.9863636363636363,0.9743589743589743,0.95,40072
199,"(750, 'mfcc')","[(2, 3, 'sigmoid'), (4, 5, 'sigmoid')]",0.9772727272727273,0.972972972972973,0.9,51968
201,"(750, 'mfcc')","[(4, 5, 'relu'), (4, 5, 'relu'), (8, 5, 'sigmoid')]",0.9863636363636363,0.9743589743589743,0.95,35180
203,"(750, 'mfcc')","[(2, 5, 'relu'), (4, 5, 'relu')]",0.990909090909091,1.0,0.95,39032
204,"(750, 'mfcc')","[(4, 5, 'relu'), (4, 5, 'relu'), (4, 5, 'sigmoid')]",1.0,1.0,1.0,20636
205,"(750, 'mfcc')","[(2, 5, 'relu'), (4, 5, 'relu'), (2, 5, 'sigmoid')]",0.9954545454545455,0.975609756097561,1.0,12308
206,"(750, 'mfcc')","[(2, 5, 'relu'), (2, 5, 'relu'), (4, 5, 'sigmoid')]",0.9772727272727273,0.926829268292683,0.95,18388
207,"(750, 'mfcc')","[(4, 5, 'relu'), (8, 5, 'relu'), (8, 5, 'sigmoid')]",0.9863636363636363,0.9743589743589743,0.95,39996
208,"(750, 'mfcc')","[(2, 5, 'relu'), (4, 5, 'relu'), (32, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,195324
209,"(750, 'mfcc')","[(4, 5, 'relu'), (4, 5, 'relu'), (8, 5, 'sigmoid')]",0.9818181818181818,0.9736842105263158,0.925,35180
210,"(750, 'spectrogram')","[(2, 5, 'relu'), (4, 5, 'relu'), (4, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,492876
211,"(750, 'mel-spectrogram')","[(2, 5, 'relu'), (4, 5, 'relu')]",0.9954545454545455,0.975609756097561,1.0,84952
212,"(750, 'mfcc')","[(2, 5, 'relu'), (8, 5, 'relu'), (2, 5, 'sigmoid')]",0.990909090909091,0.975,0.975,13924
213,"(750, 'spectrogram')","[(2, 5, 'relu'), (2, 5, 'relu'), (4, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,491668
214,"(750, 'mfcc')","[(4, 5, 'relu'), (4, 5, 'relu')]",0.9954545454545455,0.975609756097561,1.0,40072
215,"(750, 'mfcc')","[(2, 5, 'relu'), (4, 5, 'relu'), (2, 5, 'sigmoid')]",0.9954545454545455,1.0,0.975,12308
