Model Number,Input Configuration,Model Configuration,Accuracy,Precision,Recall,Model Size
0,"(6000, 'spectrogram')","[(64, 3, 'relu')]",1.0,1.0,1.0,303795268
1,"(6000, 'spectrogram')","[(64, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,303795328
2,"(6000, 'spectrogram')","[(64, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,303795468
3,"(6000, 'spectrogram')","[(4, 5, 'sigmoid')]",1.0,1.0,1.0,18626284
4,"(6000, 'spectrogram')","[(8, 5, 'relu')]",1.0,1.0,1.0,37249600
5,"(6000, 'spectrogram')","[(4, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,18989752
6,"(6000, 'spectrogram')","[(4, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,18626168
7,"(6000, 'spectrogram')","[(2, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,9314440
8,"(6000, 'spectrogram')","[(8, 5, 'relu')]",1.0,1.0,1.0,37249624
9,"(6000, 'spectrogram')","[(16, 5, 'relu')]",1.0,1.0,1.0,74496536
10,"(6000, 'spectrogram')","[(64, 3, 'relu'), (16, 3, 'relu')]",1.0,1.0,1.0,74534888
11,"(6000, 'spectrogram')","[(8, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,37249784
12,"(6000, 'spectrogram')","[(16, 5, 'relu')]",0.8181818181818182,0.0,0.0,74496556
13,"(6000, 'spectrogram')","[(4, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,18626328
14,"(6000, 'spectrogram')","[(4, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,18626328
15,"(6000, 'spectrogram')","[(64, 5, 'relu')]",1.0,1.0,1.0,297978028
16,"(6000, 'spectrogram')","[(16, 5, 'relu')]",0.8181818181818182,0.0,0.0,74496556
17,"(6000, 'spectrogram')","[(8, 5, 'relu'), (16, 5, 'relu')]",1.0,1.0,1.0,71613736
18,"(6000, 'spectrogram')","[(8, 5, 'sigmoid'), (4, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,18265984
19,"(6000, 'spectrogram')","[(8, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,37249784
20,"(6000, 'spectrogram')","[(64, 5, 'relu')]",0.8181818181818182,0.0,0.0,297978028
21,"(6000, 'spectrogram')","[(8, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,37249784
22,"(6000, 'spectrogram')","[(64, 5, 'relu')]",1.0,1.0,1.0,297978028
23,"(6000, 'spectrogram')","[(8, 5, 'relu'), (16, 5, 'relu')]",0.8181818181818182,0.0,0.0,71613736
24,"(6000, 'spectrogram')","[(8, 5, 'relu'), (16, 3, 'sigmoid')]",1.0,1.0,1.0,73050816
25,"(6000, 'spectrogram')","[(64, 3, 'sigmoid')]",1.0,1.0,1.0,303795512
26,"(6000, 'spectrogram')","[(64, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,297978168
27,"(6000, 'spectrogram')","[(8, 5, 'sigmoid'), (4, 3, 'sigmoid'), (64, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,280659192
28,"(6000, 'spectrogram')","[(64, 5, 'relu'), (32, 3, 'relu')]",0.8181818181818182,0.0,0.0,146167592
29,"(6000, 'spectrogram')","[(64, 5, 'relu')]",0.8181818181818182,0.0,0.0,297978028
30,"(6000, 'spectrogram')","[(64, 3, 'sigmoid')]",1.0,1.0,1.0,303795512
31,"(6000, 'spectrogram')","[(64, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,297978028
32,"(6000, 'spectrogram')","[(8, 5, 'relu'), (16, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,73050816
33,"(6000, 'spectrogram')","[(8, 5, 'sigmoid'), (4, 3, 'sigmoid'), (64, 5, 'sigmoid'), (2, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,8456952
34,"(6000, 'spectrogram')","[(64, 5, 'relu'), (4, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,18279608
35,"(6000, 'spectrogram')","[(64, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,303795372
36,"(6000, 'spectrogram')","[(8, 5, 'relu'), (16, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,71613888
37,"(6000, 'spectrogram')","[(64, 5, 'sigmoid')]",1.0,1.0,1.0,297978168
38,"(6000, 'spectrogram')","[(32, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,148990380
39,"(6000, 'spectrogram')","[(64, 3, 'sigmoid'), (4, 3, 'sigmoid'), (64, 5, 'sigmoid'), (2, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,8645496
40,"(6000, 'spectrogram')","[(64, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,303795372
41,"(6000, 'spectrogram')","[(64, 5, 'sigmoid')]",1.0,1.0,1.0,297978168
42,"(6000, 'spectrogram')","[(8, 5, 'sigmoid'), (4, 3, 'sigmoid'), (64, 5, 'sigmoid'), (2, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,8456952
43,"(6000, 'spectrogram')","[(64, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,297978028
44,"(6000, 'spectrogram')","[(64, 5, 'sigmoid'), (4, 3, 'sigmoid')]",1.0,1.0,1.0,18279872
45,"(6000, 'spectrogram')","[(64, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,297978028
46,"(6000, 'spectrogram')","[(64, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,303795512
47,"(6000, 'spectrogram')","[(32, 5, 'relu')]",0.8181818181818182,0.0,0.0,148990380
48,"(6000, 'spectrogram')","[(64, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,297978168
49,"(6000, 'spectrogram')","[(64, 5, 'sigmoid')]",1.0,1.0,1.0,297978168
50,"(6000, 'spectrogram')","[(64, 3, 'relu')]",0.8181818181818182,0.0,0.0,303795372
51,"(6000, 'spectrogram')","[(64, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,297978168
52,"(6000, 'spectrogram')","[(64, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,297978168
53,"(6000, 'spectrogram')","[(64, 3, 'sigmoid')]",1.0,1.0,1.0,303795512
54,"(6000, 'spectrogram')","[(64, 3, 'relu')]",0.8181818181818182,0.0,0.0,303795372
55,"(6000, 'spectrogram')","[(64, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,297978028
56,"(6000, 'spectrogram')","[(64, 5, 'sigmoid'), (4, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,18279872
57,"(6000, 'spectrogram')","[(64, 5, 'sigmoid'), (64, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,292325472
58,"(6000, 'spectrogram')","[(32, 5, 'sigmoid')]",1.0,1.0,1.0,148990520
59,"(6000, 'spectrogram')","[(64, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,303795512
60,"(6000, 'spectrogram')","[(32, 3, 'relu')]",1.0,1.0,1.0,151899052
61,"(6000, 'spectrogram')","[(64, 5, 'sigmoid'), (16, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,73089008
62,"(6000, 'spectrogram')","[(64, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,297978168
63,"(6000, 'spectrogram')","[(64, 5, 'sigmoid'), (4, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,18279872
64,"(6000, 'spectrogram')","[(64, 5, 'sigmoid'), (4, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,18279872
65,"(6000, 'spectrogram')","[(32, 3, 'relu')]",0.8136363636363636,0.0,0.0,151899052
66,"(6000, 'spectrogram')","[(64, 3, 'sigmoid')]",1.0,1.0,1.0,303795512
67,"(6000, 'spectrogram')","[(32, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,148990380
68,"(6000, 'spectrogram')","[(64, 5, 'sigmoid'), (2, 5, 'relu')]",0.8181818181818182,0.0,0.0,8972456
69,"(6000, 'spectrogram')","[(32, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,148990520
70,"(6000, 'spectrogram')","[(64, 5, 'relu')]",0.8181818181818182,0.0,0.0,297978028
71,"(6000, 'spectrogram')","[(32, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,151899192
72,"(6000, 'spectrogram')","[(32, 5, 'sigmoid'), (4, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,18271944
73,"(6000, 'spectrogram')","[(64, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,303795524
74,"(6000, 'spectrogram')","[(64, 5, 'relu'), (4, 3, 'sigmoid')]",1.0,1.0,1.0,18279776
75,"(6000, 'spectrogram')","[(64, 3, 'relu')]",0.8181818181818182,0.0,0.0,303795380
76,"(6000, 'spectrogram')","[(64, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,303795524
77,"(6000, 'spectrogram')","[(64, 5, 'relu'), (2, 5, 'relu')]",0.8181818181818182,0.0,0.0,8972316
78,"(6000, 'spectrogram')","[(32, 3, 'relu')]",0.8181818181818182,0.0,0.0,151899060
79,"(6000, 'spectrogram')","[(64, 5, 'relu')]",1.0,1.0,1.0,297978036
80,"(6000, 'spectrogram')","[(64, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,303795524
81,"(6000, 'spectrogram')","[(64, 5, 'sigmoid'), (2, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,8972472
82,"(6000, 'spectrogram')","[(64, 5, 'relu'), (4, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,18279776
83,"(6000, 'spectrogram')","[(64, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,303795380
84,"(6000, 'spectrogram')","[(64, 3, 'relu')]",0.8181818181818182,0.0,0.0,303795380
85,"(6000, 'spectrogram')","[(64, 3, 'relu')]",1.0,1.0,1.0,303795380
86,"(6000, 'spectrogram')","[(64, 5, 'relu'), (4, 3, 'relu')]",0.8181818181818182,0.0,0.0,18279620
87,"(6000, 'spectrogram')","[(32, 5, 'relu')]",0.8181818181818182,0.0,0.0,148990388
88,"(6000, 'spectrogram')","[(32, 5, 'sigmoid'), (2, 5, 'relu')]",1.0,1.0,1.0,8962744
89,"(6000, 'spectrogram')","[(64, 5, 'relu'), (2, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,8972316
90,"(6000, 'spectrogram')","[(64, 5, 'relu')]",0.8181818181818182,0.0,0.0,297978036
91,"(6000, 'spectrogram')","[(64, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,297978036
92,"(6000, 'spectrogram')","[(64, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,303795380
93,"(6000, 'spectrogram')","[(64, 5, 'relu'), (4, 3, 'relu')]",1.0,1.0,1.0,18279620
94,"(6000, 'spectrogram')","[(64, 3, 'relu')]",0.8181818181818182,0.0,0.0,303795380
95,"(6000, 'spectrogram')","[(64, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,303795524
96,"(6000, 'spectrogram')","[(64, 3, 'relu'), (64, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,292583536
97,"(6000, 'spectrogram')","[(32, 5, 'sigmoid'), (4, 5, 'relu')]",0.8181818181818182,0.0,0.0,17918752
98,"(6000, 'spectrogram')","[(64, 5, 'relu')]",1.0,1.0,1.0,297978036
99,"(6000, 'spectrogram')","[(64, 3, 'relu')]",0.8181818181818182,0.0,0.0,303795380
100,"(6000, 'spectrogram')","[(64, 3, 'sigmoid')]",1.0,1.0,1.0,303795544
101,"(6000, 'spectrogram')","[(32, 5, 'sigmoid'), (2, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,9139320
102,"(6000, 'spectrogram')","[(64, 5, 'relu'), (4, 3, 'relu')]",1.0,1.0,1.0,18279656
103,"(6000, 'spectrogram')","[(64, 3, 'relu')]",0.8181818181818182,0.0,0.0,303795404
104,"(6000, 'spectrogram')","[(64, 3, 'relu'), (64, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,292583568
105,"(6000, 'spectrogram')","[(64, 3, 'relu'), (64, 3, 'relu')]",0.8181818181818182,0.0,0.0,298122232
106,"(6000, 'spectrogram')","[(64, 5, 'sigmoid'), (4, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,18279808
107,"(6000, 'spectrogram')","[(64, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,297978060
108,"(6000, 'spectrogram')","[(64, 5, 'relu'), (4, 3, 'relu'), (2, 3, 'relu')]",0.8181818181818182,0.0,0.0,8969596
109,"(6000, 'spectrogram')","[(64, 5, 'relu')]",0.8181818181818182,0.0,0.0,297978060
110,"(6000, 'spectrogram')","[(32, 3, 'relu')]",0.8181818181818182,0.0,0.0,151899084
111,"(6000, 'spectrogram')","[(64, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,297978200
112,"(6000, 'spectrogram')","[(64, 3, 'relu')]",0.8181818181818182,0.0,0.0,303795404
