Model Number,Input Configuration,Model Configuration,Accuracy,Precision,Recall,Model Size
88,"(750, 'mfcc')","[(4, 3, 'relu'), (2, 5, 'relu'), (32, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,197016
89,"(750, 'mfcc')","[(2, 5, 'relu'), (2, 5, 'sigmoid')]",0.9818181818181818,0.95,0.95,21416
90,"(750, 'mfcc')","[(4, 5, 'relu'), (2, 5, 'sigmoid')]",0.9863636363636363,0.9512195121951219,0.975,21992
91,"(750, 'mfcc')","[(2, 5, 'relu'), (2, 3, 'sigmoid')]",0.990909090909091,0.9523809523809523,1.0,27560
92,"(750, 'spectrogram')","[(4, 5, 'relu'), (2, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,573996
93,"(750, 'mfcc')","[(2, 5, 'relu')]",0.9954545454545455,0.975609756097561,1.0,33748
94,"(750, 'mfcc')","[(4, 5, 'relu')]",1.0,1.0,1.0,64756
95,"(750, 'mfcc')","[(2, 3, 'relu'), (2, 5, 'sigmoid')]",0.9772727272727273,0.8888888888888888,1.0,27688
96,"(750, 'mfcc')","[(4, 3, 'relu'), (2, 5, 'relu')]",1.0,1.0,1.0,27980
98,"(750, 'mfcc')","[(2, 5, 'relu'), (2, 3, 'sigmoid'), (16, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,100504
99,"(750, 'mfcc')","[(4, 5, 'relu'), (2, 5, 'relu')]",1.0,1.0,1.0,21836
100,"(750, 'mfcc')","[(2, 5, 'relu'), (2, 5, 'relu')]",1.0,1.0,1.0,21292
101,"(750, 'mfcc')","[(4, 5, 'relu'), (2, 5, 'sigmoid'), (2, 3, 'relu')]",0.990909090909091,0.975,0.975,16972
102,"(750, 'mfcc')","[(4, 5, 'relu')]",0.9954545454545455,1.0,0.975,64776
103,"(750, 'mfcc')","[(4, 3, 'relu'), (2, 5, 'relu'), (32, 3, 'relu')]",0.9954545454545455,1.0,0.975,284968
104,"(750, 'mfcc')","[(2, 5, 'relu')]",0.9863636363636363,0.9512195121951219,0.975,33772
105,"(750, 'mel-spectrogram')","[(2, 5, 'relu'), (2, 5, 'sigmoid')]",0.9954545454545455,1.0,0.975,44408
106,"(750, 'mfcc')","[(8, 3, 'relu'), (2, 5, 'relu')]",0.9954545454545455,0.975609756097561,1.0,28976
108,"(750, 'mfcc')","[(4, 5, 'sigmoid'), (2, 5, 'sigmoid'), (2, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,16800
109,"(750, 'mfcc')","[(2, 5, 'relu'), (2, 5, 'relu')]",0.9954545454545455,1.0,0.975,21296
110,"(1500, 'mfcc')","[(2, 5, 'relu'), (2, 5, 'sigmoid')]",1.0,1.0,1.0,58648
112,"(750, 'mfcc')","[(4, 5, 'relu')]",1.0,1.0,1.0,64780
113,"(750, 'mfcc')","[(8, 3, 'relu'), (2, 5, 'relu'), (64, 3, 'relu')]",0.9954545454545455,1.0,0.975,566124
114,"(750, 'mfcc')","[(2, 5, 'relu'), (2, 5, 'sigmoid')]",0.9818181818181818,0.9285714285714286,0.975,21448
115,"(750, 'mfcc')","[(2, 5, 'relu'), (2, 3, 'relu')]",0.9954545454545455,1.0,0.975,27440
116,"(750, 'mfcc')","[(16, 3, 'relu'), (2, 5, 'relu')]",0.9954545454545455,1.0,0.975,30896
117,"(750, 'mfcc')","[(2, 5, 'relu'), (4, 5, 'relu')]",0.9954545454545455,1.0,0.975,39032
118,"(750, 'mfcc')","[(4, 5, 'sigmoid')]",1.0,1.0,1.0,64920
119,"(750, 'mfcc')","[(2, 5, 'relu')]",0.990909090909091,0.975,0.975,33772
121,"(750, 'mfcc')","[(2, 5, 'relu')]",0.9818181818181818,0.9285714285714286,0.975,33772
122,"(750, 'mel-spectrogram')","[(2, 5, 'relu'), (2, 3, 'relu')]",1.0,1.0,1.0,56960
123,"(750, 'mfcc')","[(16, 3, 'relu')]",0.17727272727272728,0.1780821917808219,0.975,311244
124,"(750, 'mfcc')","[(2, 5, 'relu'), (2, 5, 'relu')]",1.0,1.0,1.0,21296
125,"(750, 'mfcc')","[(2, 3, 'relu'), (2, 5, 'relu')]",0.990909090909091,0.975,0.975,27568
126,"(750, 'mfcc')","[(2, 5, 'relu')]",0.9954545454545455,1.0,0.975,33772
127,"(375, 'mfcc')","[(2, 5, 'relu')]",0.8,0.4722222222222222,0.85,14172
128,"(750, 'mel-spectrogram')","[(2, 5, 'relu'), (2, 5, 'relu')]",0.9818181818181818,0.95,0.95,44256
129,"(750, 'mel-spectrogram')","[(2, 5, 'relu'), (2, 3, 'relu')]",0.9954545454545455,0.975609756097561,1.0,56960
130,"(750, 'mfcc')","[(2, 5, 'sigmoid'), (2, 5, 'relu')]",0.9818181818181818,0.95,0.95,21452
131,"(750, 'mfcc')","[(2, 5, 'relu'), (64, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,768680
132,"(750, 'mel-spectrogram')","[(2, 5, 'relu'), (2, 5, 'relu')]",0.9863636363636363,0.9512195121951219,0.975,44256
133,"(750, 'mel-spectrogram')","[(2, 5, 'relu')]",0.9954545454545455,0.975609756097561,1.0,69852
134,"(750, 'mfcc')","[(2, 5, 'relu')]",0.9954545454545455,1.0,0.975,33772
135,"(750, 'mfcc')","[(2, 3, 'relu'), (2, 5, 'relu')]",0.9954545454545455,0.975609756097561,1.0,27568
136,"(750, 'mfcc')","[(2, 5, 'sigmoid'), (2, 5, 'relu')]",0.990909090909091,0.9523809523809523,1.0,21452
137,"(750, 'mfcc')","[(2, 3, 'sigmoid'), (2, 5, 'relu')]",0.9954545454545455,1.0,0.975,27724
138,"(750, 'mfcc')","[(2, 5, 'relu'), (2, 5, 'relu')]",1.0,1.0,1.0,21296
139,"(750, 'mel-spectrogram')","[(2, 5, 'sigmoid'), (2, 5, 'relu')]",1.0,1.0,1.0,44412
140,"(750, 'mfcc')","[(2, 5, 'relu')]",0.990909090909091,0.975,0.975,33772
141,"(750, 'spectrogram')","[(2, 5, 'sigmoid'), (2, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,573612
142,"(750, 'spectrogram')","[(2, 3, 'relu'), (2, 5, 'relu')]",0.9590909090909091,0.8444444444444444,0.95,737488
143,"(1500, 'mfcc')","[(2, 5, 'sigmoid'), (2, 5, 'relu')]",0.9954545454545455,1.0,0.975,58652
144,"(750, 'mfcc')","[(2, 5, 'relu'), (2, 5, 'relu')]",0.990909090909091,1.0,0.95,21296
145,"(750, 'mfcc')","[(2, 5, 'relu'), (2, 5, 'relu'), (64, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,225028
146,"(750, 'mfcc')","[(2, 5, 'sigmoid'), (2, 5, 'sigmoid')]",0.9818181818181818,0.9285714285714286,0.975,21564
147,"(1500, 'mfcc')","[(2, 5, 'relu'), (2, 5, 'relu')]",0.9954545454545455,0.975609756097561,1.0,58496
148,"(750, 'spectrogram')","[(2, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,1066764
149,"(750, 'spectrogram')","[(2, 3, 'relu'), (2, 5, 'relu')]",0.9181818181818182,0.7291666666666666,0.875,737488
150,"(750, 'mfcc')","[(2, 5, 'relu')]",0.990909090909091,1.0,0.95,33772
151,"(750, 'mfcc')","[(2, 5, 'relu')]",0.9863636363636363,0.9512195121951219,0.975,33772
152,"(1500, 'mfcc')","[(2, 5, 'relu'), (2, 5, 'relu')]",0.9954545454545455,1.0,0.975,58496
153,"(750, 'mfcc')","[(2, 3, 'sigmoid'), (2, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,27836
154,"(750, 'spectrogram')","[(2, 3, 'relu'), (2, 5, 'relu')]",0.9727272727272728,1.0,0.85,737488
155,"(1500, 'mfcc')","[(2, 5, 'relu'), (2, 5, 'relu')]",0.9954545454545455,0.975609756097561,1.0,58496
156,"(750, 'mfcc')","[(2, 3, 'relu'), (2, 5, 'relu')]",1.0,1.0,1.0,27568
157,"(1500, 'mfcc')","[(2, 5, 'relu')]",1.0,1.0,1.0,75772
158,"(750, 'mfcc')","[(2, 5, 'sigmoid')]",0.9954545454545455,0.975609756097561,1.0,33912
159,"(750, 'mfcc')","[(2, 5, 'relu'), (2, 5, 'relu')]",0.9863636363636363,0.9302325581395349,1.0,21296
160,"(750, 'mfcc')","[(2, 5, 'relu'), (2, 5, 'sigmoid')]",0.990909090909091,1.0,0.95,21448
161,"(1500, 'mfcc')","[(2, 5, 'relu')]",1.0,1.0,1.0,75772
162,"(1500, 'mfcc')","[(2, 5, 'relu'), (4, 5, 'relu')]",1.0,1.0,1.0,113432
163,"(1500, 'mfcc')","[(2, 3, 'relu'), (2, 5, 'relu')]",0.9954545454545455,0.975609756097561,1.0,67168
164,"(750, 'mfcc')","[(2, 5, 'relu'), (2, 5, 'relu')]",0.9772727272727273,0.9069767441860465,0.975,21296
165,"(1500, 'mfcc')","[(2, 5, 'relu'), (2, 5, 'relu')]",1.0,1.0,1.0,58496
166,"(750, 'mfcc')","[(2, 3, 'relu'), (2, 5, 'sigmoid')]",0.9954545454545455,1.0,0.975,27720
167,"(750, 'spectrogram')","[(2, 5, 'relu'), (2, 5, 'sigmoid')]",0.9772727272727273,0.9487179487179487,0.925,573608
168,"(1500, 'mfcc')","[(4, 5, 'relu')]",0.9954545454545455,1.0,0.975,148780
169,"(750, 'mfcc')","[(2, 5, 'relu'), (2, 5, 'relu')]",0.9818181818181818,0.9736842105263158,0.925,21296
170,"(1500, 'mfcc')","[(2, 5, 'relu'), (2, 5, 'relu')]",1.0,1.0,1.0,58496
171,"(1500, 'mfcc')","[(2, 5, 'relu'), (2, 5, 'sigmoid')]",1.0,1.0,1.0,58648
172,"(750, 'mfcc')","[(2, 5, 'relu'), (2, 5, 'relu'), (2, 3, 'sigmoid')]",0.9681818181818181,0.9024390243902439,0.925,16396
173,"(750, 'mfcc')","[(2, 3, 'relu'), (2, 5, 'sigmoid'), (128, 5, 'relu')]",0.9863636363636363,0.9512195121951219,0.975,772996
174,"(750, 'mfcc')","[(2, 5, 'relu'), (2, 5, 'relu')]",0.9863636363636363,0.9512195121951219,0.975,21296
